comment,todaysWgt,sirename,racetime,record_1,L2comment,L5lbw,L1sp,L2racecourse,ClassL3,ClassL2,ClassL1,raceclass,L2pos,ClassL5,ClassL4,L4going,racecourse,L1dist,diomed,horsenumber,pedigreecomment,pmL3,pedstats,L5sp,sirecomment,L2raceoutcome,record_2_stats,L3dist,L3comment,timestamp,L5ran,L1going,L1pos,L4lbw,racepm,L3sp,record_3_stats,Family,L3pos,L3ran,L1raceoutcome,L1comment,CD,record_4_stats,L5comment,L5going,L4pos,record_1_stats,L5raceoutcome,DI,L3going,L2lbw,todaysWgt_dec,L2dist,L4dist,L1racecourse,WGTL3,WGTL2,WGTL1,racedate,record_5_stats,WGTL5,WGTL4,rpOR,L1lbw,dayssincelastrun,rpTS,racegoing,L3raceoutcome,racename,rpRPR,L4ran,L2ran,L1ran,L2going,L4sp,Pedprizemoney,pmL5,pmL4,L5pos,barrier,pmL2,L3lbw,record_4,record_5,record_2,record_3,L5dist,racedistance,horsename,L4comment,L3racecourse,hage,L2sp,bestodds,L4raceoutcome,pmL1,L4racecourse,L5racecourse
Slightly better last time without making any real appeal here,,,2:30,Flat Turf,"went left start, hung left and race very wide, in touch in midfield until weakened over 2f out",17,1.0,Kem,C6Hc 1K,C7Hc 1K,C6Hc 3K,  Rudridge Ltd Handicap  (Div II)  (CLASS 6) (4yo+ 0-55) ,1,C6Hc 1K,C5Md 2K,St,Lingfield (AW),7.0,"  Jonnie Skull ought to give it his best shot from the front once more, while the frustrating Warbond is another to consider. JUST FIVE ran a bit better at Kempton three weeks ago, however, and he is more than capable off his lowly mark if that was the first hint of a revival. ",11,(CLOSE),1K,,7.0,"smart sprinter, from family of Al Bahathri, capable of siring 2yo winners",11/12 (120.5L Boboli Gardens 9-7) e/s 16/1,: :5:0:0:0:£0:£0: 33 : 43 : 40,7.0,"settled in midfield, pushed along and close enough just over 1f out, faded last 150yds",2015-04-08 10:02:29.243015,7,St,0,13,3K,1.0,: :8:0:0:0:£0:£0: - : - : -,,8,13,10/11 (50.5L Teen Ager 8-9) h1 100/1,"steadied start, held up in touch in last pair, effort over 1f out, no progress",,,with leader until hung left and weakened well over 1f out,Gd,6,: :3:0:0:0:£0:£0: 1 : 21 : 40,7/7 (17L Perfect Pastime 9-7) 66/1,,St,12½,,7.0,6.0,Lin,8-12,9-2,8-8,2015-04-08,,8-8,9-0,45,5½,14,49,Std,8/13 (5L Admirable Art 9-5) e/s 100/1,  Rudridge Ltd Handicap  (Div II)  (CLASS 6) (4yo+ 0-55) ,59,9,12,11,St,1.0,,1K,2K,7,6,1K,5,,,All-weather,Rules Races,6.0,8.0,SPIDER BAY,"always in 6th and well off the pace, ridden and no progress well over 1f out",Lin,6,7.0,,6/9 (13L Silver Mirage 9-0) he1 20/1,3K,Kem,Bri
Struggling for form but too well treated to ignore and new headgear here.,,,8:45,Flat Turf,"held up in touch, ridden over 2f out, some headway over 1f out, kept on same pace inside final furlong",7¾,6.0,Lin,C6Hc 2K,C5Hc 3K,C5Hc 2K,  32RedSport.com Fillies´ Handicap  (CLASS 5) (4yo+ 0-70) ,8,C5Hc 2K,C6Hc 2K,St,Kempton (AW),7.0,  Verus Delicia won well at Wolverhampton but Tapeta could be more to her liking than Polytrack and in any case SAKHEE´S ROSE had excuses in behind that day and Ed McMahon´s mare had been in good form. ,6,(CLOSE),2K,,3.0,"smart 6f 2yo, high-class miler, out of Yorkshire Oaks winner; sold to S. Africa 2009",8/9 (30.5L Skinny Love 9-4) h 8/1,": :41:7:3:4:£14,781:£17,675: 73 : 79 : 58",7.0,"took keen hold, tracked leading pair, ridden over 2f out, chased winner well over 1f out until inside final furlong, one pace",2015-04-08 10:02:27.884352,10,St,5,16,4K,7.0,": :47:7:3:5:£14,781:£18,078: - : - : -",,3,12,5/6 (40.75L Elusive Ellen 9-3) h 5/1,"tracked leader, led just over 2f out, to well over 1f out, weakened final furlong",,,"held up in touch in midfield, ridden 2f out, no headway over 1f out, weakened inside final furlong",St,8,: :6:0:0:1:£0:£403: 34 : 50 : 45,8/10 (70.75L Be Royale 9-5) p 12/1,,St,3½,,7.0,8.0,Kem,9-4,8-11,8-8,2015-04-08,,9-2,8-12,58,4¾,14,75,Std,3/12 (3L Childesplay 9-4) h 16/1,  32RedSport.com Fillies´ Handicap  (CLASS 5) (4yo+ 0-70) ,83,8,9,6,St,5.0,,2K,2K,8,4,3K,3,,,All-weather,Rules Races,7.0,6.0,SHAUNAS SPIRIT,"took keen hold, held up in midfield, ridden and weakened 2f out, soon behind",Kem,7,9.0,,8/8 (16L City Of Angkor Wat 9-7) h 14/1,2K,Kem,Kem
No diomed comment available for this horse,,,8:40,,,,,,,,,  Maiden Special Weight  (3yo) (Dirt)  (3yo) ,,,,,Keeneland (USA),, Diomed verdict is not currently available for this race ,1,Owner: Shadwell Stable  Breeder: Shadwell FarmState Bred: KY(CLOSE),,"(USA) ch. C, 2012 {2-f} DP = 9-4-15-0-0 (28)  DI = 2.73  CD = 0.79",,"top-class over 7-10f, won G1 King's Bishop S., & 2nd Ky Derby; gets top 2yos",,,,,2015-04-08 10:02:33.913220,,,,,37K,,,,,,,,0.79,,,,,,,2.73,,,,,,,,,,2015-04-08,,,,0,,,0,Fast,,  Maiden Special Weight  (3yo) (Dirt)  (3yo) ,0,,,,,,,,,,7,,,,,,,,6.0,ABDAAR,,,3,,,,,,
No diomed comment available for this horse,,,9:11,All-weather,Click to view result,,7.0,Aqu,,2y 21K,3yG2 73K,  Allowance  (3yo Fillies) (Dirt)  (3yo) ,1,,,,Keeneland (USA),8.0, Diomed verdict is not currently available for this race ,11,Breeder: Thomas C. Le VineState Bred: PA(CLOSE),,"(USA) dkb/br. H, 1996 {4-r} DP = 7-0-3-0-0 (10)  DI = 5.67  CD = 1.40 - 25 Starts, 0 Wins, 2 Places, 2 Shows   $8,452",,"outstanding 1m-10f US dirt runner at 3, winner of Preakness; sire of three G1 wnrs in 2014",1/7 (hd Fair Point 8-8) 11/10F,": :1:0:0:0:£0:£1,282: - : 58 : -",,,2015-04-08 10:02:28.998138,,Fs,8,,38K,,": :2:1:0:0:£21,687:£22,969: - : - : -",,,,8/13 (20L Ekati's Phaeton 8-6) 76/1,No Comment,1.40,,,,,": :2:1:0:0:£21,687:£22,969: - : 58 : -",,5.67,,,,8.0,,Gul,,8-8,8-5,2015-04-08,,,,0,20,46,0,Fast,,  Allowance  (3yo Fillies) (Dirt)  (3yo) ,0,,7,13,Fs,,,,,,11,21K,,,,Stakes,Rules Races,,8.0,GENRE,,,3,1.0,,,73K,,
No diomed comment available for this horse,,,8:15,Flat Turf,,,1.0,,,,Md 4K,  TAB Place Multi Handicap  (3yo+ Fillies & Mares) (Turf)  (3yo+) ,,,,,Warwick Farm (AUS),6.0, Diomed verdict is not currently available for this race ,14,"Owner: Darrell  Cynthia Johnson  Breeder: Barnett EnterprisesState Bred: KY Winnings: 10 Starts: M - 3 - 3, $26,505Foaled March 16, 2007KEESEP08:$130K Updated 25Feb12 KEESEP12 $130,000 I/F Hard Spun (Al Gold).(CLOSE)",,"(USA) dkb/br. F, 2007 {8-j} DP = 7-3-30-0-0 (40)  DI = 1.67  CD = 0.43 - 10 Starts, M Wins, 3 Places, 3 Shows   $26,505",,,,": :1:1:0:0:£4,293:£4,293: - : - : -",,,2015-04-08 10:02:29.529646,,Gd,1,,26K,,,,,,1/12 (30.25L Arigold 9-3) 11/10F,No Comment,0.43,,,,,": :1:1:0:0:£4,293:£4,293: - : - : -",,1.67,,,,,,Gou,,,9-0,2015-04-08,,,,0,3¼,19,0,Sft,,  TAB Place Multi Handicap  (3yo+ Fillies & Mares) (Turf)  (3yo+) ,0,,,12,,,,,,,12,,,,,Rules Races,,,6.0,RENESMEE,,,5,,,,4K,,
Runner-up to Perceived here last October; still a maiden and 2lb out of weights,,,5:10,Flat Turf,"midfield, pushed along on inner with work to do over 2f out, ridden and headway over 1f out, went 2nd inside final furlong, stayed on, not trouble winner",¾,9.0,Wol,C62yHc 1K,C63yHc 2K,C63yHc 2K,  totepool Princess Bella Handicap  (CLASS 5) (3yo 0-70) ,2,C52yHc 2K,C52yHc 3K,Sf,Nottingham,2.0,"  PERCEIVED looks open to further progress in handicap company and with conditions in her favour she´s taken to follow up last October´s soft-ground course win. Luca Cumani´s unexposed maiden winner Noro Lim has to be feared, while a few others may be capable of improvement now switched to a handicap. ",13,(CLOSE),1K,,3.0,"top-class 2yo, won Prix Morny & Middle Park, high-class 6-7f 3yo; good source of sprinters/milers",2/11 (10.25L Let Right Be Done 9-5) p 10/1,: :5:0:1:0:£0:£962: 53 : 56 : 54,8.0,"slowly into stride, soon switched wide in rear, switched left to inner over 3f out, soon ridden along and never dangerous",2015-04-08 10:02:22.588083,9,St,5,6¾,4K,3.0,": :12:0:2:0:£0:£1,973: - : - : -",,7,10,5/12 (70.75L Rosenbaum 9-2) p 8/1,"prominent, ridden over 2f out, stayed on same pace from over 1f out",,,"dwelt and in rear, steady headway over 4f out, close up 3f out, led well over 1f out, ridden entering final furlong, headed and no extra last 50yds",Sf,6,": :7:0:1:0:£0:£1,011: 45 : 57 : 54",2/9 (0.75L Perceived 8-11) p 12/1,,St,1¼,,5.0,7.0,Wol,8-12,9-0,8-12,2015-04-08,,8-5,8-0,54,7¾,20,66,Sft,7/10 (13L Offshore 9-7) p 12/1,  totepool Princess Bella Handicap  (CLASS 5) (3yo 0-70) ,78,11,11,12,St,8.0,,2K,3K,2,1,2K,13,,,All-weather,Rules Races,5.0,10.0,ROBBEN,"held up, headway under pressure 2f out, one pace final furlong",Sth,3,1.0,,6/11 (60.75L Great Park 9-4) p 7/1,2K,Nmk,Not
On losing run but went close over 6f last time and able to race off same mark here,,,3:30,Flat Turf,"in touch in midfield, ridden 2f out, little response and lost place over 1f out, well held final furlong",2¼,1.0,Lin,C6Hc 2K,C6Hc 2K,C6Hc 2K,  KC Facilities Handicap  (CLASS 5) (4yo+ 0-70) ,0,C5Hc 3K,C6Hc 2K,St,Lingfield (AW),6.0," With the potentially well handicapped pair Mcdelta and Sunshine Always both returning from lengthy absences, this doesn´t make much appeal as a betting medium. The former was progressing nicely when last seen and is respected on his reappearance but LUJEANIE wasn´t beaten far at Kempton last time and gets the tentative vote. ",7,(CLOSE),2K,,7.0,"top-class sprint 2yo, decent record with 2yos, some smart, now stands in Greece",10/10 (7L Gung Ho Jack 9-2) v 8/1,": :55:6:7:5:£19,722:£30,839: 85 : 93 : 59",6.0,"chased leaders, wide bend and lost place 2f out, kept on again under pressure inside final furlong",2015-04-08 10:02:29.034664,8,St,3,1½,4K,9.0,": :88:8:10:8:£30,564:£49,815: - : - : -",,6,12,3/12 (hd Gold Club 9-4) 20/1,"tracked leading pair, ridden 2f out, closed to challenge final furlong, upsides near finish, just held",,,"chased clear leader after 2f and clear of rest, driven and tried to close over 1f out, kept on but outpaced by winner last 100yds",St,5,": :33:2:3:3:£10,842:£18,976: 84 : 89 : 55",2/8 (20.25L Spellmaker 9-2) v 6/1,,St,7,,6.0,6.0,Kem,9-4,9-3,9-2,2015-04-08,,8-13,9-4,59,,35,78,Std,6/12 (20.25L Gabrial's Wawa 9-6) v 8/1,  KC Facilities Handicap  (CLASS 5) (4yo+ 0-70) ,84,11,10,12,St,9.0,,3K,2K,2,6,2K,2¼,,,All-weather,Rules Races,6.0,7.0,LUJEANIE,"took keen hold, held up in touch in midfield, wide and effort bend 2f out, stayed on well under pressure inside final furlong, not reach leaders",Lin,9,9.0,,5/11 (10.5L Gabrial's Wawa 9-4) v 8/1,2K,Lin,Lin
No diomed comment available for this horse,,,8:40,,,,,,,,,  Maiden Special Weight  (3yo) (Dirt)  (3yo) ,,,,,Keeneland (USA),, Diomed verdict is not currently available for this race ,8,Owner: Brereton C. Jones  Breeder: Brereton C. JonesState Bred: KYUpdated 21Feb2015(CLOSE),,"(USA) gr/r. G, 2012 {3-i} DP = 13-10-19-2-0 (44)  DI = 2.83  CD = 0.77 - 1 Starts, 0 Wins, 0 Places, 0 Shows   $2,340",,"unraced at 2/3, useful over 6f at 5, from good French family; handful of winners in first crop",,,,,2015-04-08 10:02:33.930174,,,,,37K,,,,,,,,0.77,,,,,,,2.83,,,,,,,,,,2015-04-08,,,,0,,,0,Fast,,  Maiden Special Weight  (3yo) (Dirt)  (3yo) ,0,,,,,,,,,,8,,,,,,,,6.0,HOW ABOUT HIM,,,3,,,,,,
No diomed comment available for this horse,,,8:40,,,,,,,,,  Maiden Special Weight  (3yo) (Dirt)  (3yo) ,,,,,Keeneland (USA),, Diomed verdict is not currently available for this race ,7,Retired due to severely injured knees. Currently in LA. In foal to Humble Eleven.(CLOSE),,"F, 1996 {2-n} DP = 15-5-10-0-0 (30)  DI = 5.00  CD = 1.17   38,000",,"dual G1 winner at 2 and G2 winner at 3, effective from 6f-9f on dirt; sire of G1 wnrs inc Lea",,,,,2015-04-08 10:02:33.928696,,,,,37K,,,,,,,,1.17,,,,,,,5.00,,,,,,,,,,2015-04-08,,,,0,,,0,Fast,,  Maiden Special Weight  (3yo) (Dirt)  (3yo) ,0,,,,,,,,,,6,,,,,,,,6.0,FIRST PLACE,,,3,,,,,,
No diomed comment available for this horse,,,8:40,,,,,,,,,  Maiden Special Weight  (3yo) (Dirt)  (3yo) ,,,,,Keeneland (USA),, Diomed verdict is not currently available for this race ,4,"Owner: Richard Klein  Bertram Klein  Breeder: Richard Klein, Bert Klein  Elaine KleinState Bred: KYFoaled May 7, 2012.(CLOSE)",,"(USA) b. C, 2012 {A10} DP = 8-5-11-0-0 (24)  DI = 3.36  CD = 0.88",,"high-class 6-10f performer in US at 3-6, brother to Flatter; leading US first-crop sire '10, G1 wnrs",,,,,2015-04-08 10:02:33.923141,,,,,37K,,,,,,,,0.88,,,,,,,3.36,,,,,,,,,,2015-04-08,,,,0,,,0,Fast,,  Maiden Special Weight  (3yo) (Dirt)  (3yo) ,0,,,,,,,,,,3,,,,,,,,6.0,GREEK WEEK,,,3,,,,,,
No diomed comment available for this horse,,,8:40,,,,,,,,,  Maiden Special Weight  (3yo) (Dirt)  (3yo) ,,,,,Keeneland (USA),, Diomed verdict is not currently available for this race ,6,Owner: Wayne W. Rice  Breeder: Kenneth L. Ramsey  Sarah K. RamseyState Bred: KY(CLOSE),,"(USA) b. G, 2012 {12-c} DP = 4-4-10-0-0 (18)  DI = 2.60  CD = 0.67",,,,,,,2015-04-08 10:02:33.926171,,,,,37K,,,,,,,,0.67,,,,,,,2.60,,,,,,,,,,2015-04-08,,,,0,,,0,Fast,,  Maiden Special Weight  (3yo) (Dirt)  (3yo) ,0,,,,,,,,,,5,,,,,,,,6.0,SHIPPING MONEY,,,3,,,,,,
No diomed comment available for this horse,,,8:40,,,,,,,,,  Maiden Special Weight  (3yo) (Dirt)  (3yo) ,,,,,Keeneland (USA),, Diomed verdict is not currently available for this race ,3,"Breeder: Burning Daylight Farms, Inc. State Bred: MD Winnings: 43 Starts: 6 - 7 - 8, $39,8382nd   Sweetheart Handicap(CLOSE)",,"(USA) gr. M, 1989 {5-c} DP = 13-5-10-3-3 (34)  DI = 2.09  CD = 0.65 - 43 Starts, 6 Wins, 7 Places, 8 Shows   $39,838",,"1m winner only start at 2, later top-class dirt miler at 3-4; some BT winners in first crops",,,,,2015-04-08 10:02:33.921572,,,,,37K,,,,,,,,0.65,,,,,,,2.09,,,,,,,,,,2015-04-08,,,,0,,,0,Fast,,  Maiden Special Weight  (3yo) (Dirt)  (3yo) ,0,,,,,,,,,,2,,,,,,,,6.0,SILVER PUNCH,,,3,,,,,,
No diomed comment available for this horse,,,8:40,,,,,,,,,  Maiden Special Weight  (3yo) (Dirt)  (3yo) ,,,,,Keeneland (USA),, Diomed verdict is not currently available for this race ,5,Owner: Tevis Q. and Ron McCauley  Breeder: Ron McCauley  Unbridled's Song SyndicateState Bred: KY(CLOSE),,"(USA) b. C, 2012 {19-c} DP = 5-8-5-0-2 (20)  DI = 3.44  CD = 0.70",,"won BC Juvenile and Florida Derby, by Unbridled, can get top-class 8f+ progeny, including at 2",,,,,2015-04-08 10:02:33.924637,,,,,37K,,,,,,,,0.70,,,,,,,3.44,,,,,,,,,,2015-04-08,,,,0,,,0,Fast,,  Maiden Special Weight  (3yo) (Dirt)  (3yo) ,0,,,,,,,,,,4,,,,,,,,6.0,WILD AND UNBRIDLED,,,3,,,,,,
No diomed comment available for this horse,,,8:15,Flat Turf,,,6.0,,,,Hc 7K,  TAB Place Multi Handicap  (3yo+ Fillies & Mares) (Turf)  (3yo+) ,,,,,Warwick Farm (AUS),7.0, Diomed verdict is not currently available for this race ,13,,,,,,,: :1:0:0:0:£0:£0: - : - : -,,,2015-04-08 10:02:29.526780,,GF,7,,26K,,,,,,7/11 (80.25L Alagonia 8-9) 5/1,No Comment,,,,,,: :1:0:0:0:£0:£0: - : - : -,,,,,,,,Cnb,,,8-11,2015-04-08,,,,0,8¼,31,0,Sft,,  TAB Place Multi Handicap  (3yo+ Fillies & Mares) (Turf)  (3yo+) ,0,,,11,,,,,,,3,,,,,Rules Races,,,6.0,NIGHTS ON FIRE,,,4,,,,7K,,
No diomed comment available for this horse,,,8:40,,,,,,,,,  Maiden Special Weight  (3yo) (Dirt)  (3yo) ,,,,,Keeneland (USA),, Diomed verdict is not currently available for this race ,9,State Bred: KY(CLOSE),,,,"high-class US 2yo, later Dubai World Cup, leading sire in US/Eur, sire of Street Sense & Zenyatta",,,,,2015-04-08 10:02:33.931558,,,,,37K,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-08,,,,0,,,0,Fast,,  Maiden Special Weight  (3yo) (Dirt)  (3yo) ,0,,,,,,,,,,10,,,,,,,,6.0,BOONE STATION,,,3,,,,,,
No diomed comment available for this horse,,,8:15,Flat Turf,"waited with in final third, headway on outer over 1 1/2f out, ridden approaching final furlong and slightly impeded by rival edging out, stayed on inside final furlong, not pace to challenge",,1.0,Wfm,2yHc,3yHc 12K,Md 6K,  TAB Place Multi Handicap  (3yo+ Fillies & Mares) (Turf)  (3yo+) ,5,,,,Warwick Farm (AUS),6.0, Diomed verdict is not currently available for this race ,11,(CLOSE),No PM,,,"high-class US 2yo, later Dubai World Cup, leading sire in US/Eur, sire of Street Sense & Zenyatta",5/12 (10.75L Lanikai 8-4) 29/10,": :3:1:1:0:£6,414:£12,303: - : - : -",5.0,Click to view result,2015-04-08 10:02:29.523302,,Gd,1,,26K,1.0,,,2,14,1/13 (20.25L Northern Storm 9-4) 7/10F,"broke well from wide draw and led after 1f, dropped inside to rail, made rest, shaken up and went clear over 1f out, driven out, readily",,,,,,": :3:1:1:0:£6,414:£12,303: - : - : -",,,Gd,1¾,,5.0,,Kmb,9-2,8-7,8-13,2015-04-08,,,,0,2¼,18,0,Sft,2/14 (L 0-0),  TAB Place Multi Handicap  (3yo+ Fillies & Mares) (Turf)  (3yo+) ,0,,12,13,Gd,,,,,,13,12K,,,,Rules Races,,,6.0,PROGRESSIVE,,Kns,4,1.0,,,6K,,
No diomed comment available for this horse,,,8:15,Flat Turf,,,7.0,,,,Hc 6K,  TAB Place Multi Handicap  (3yo+ Fillies & Mares) (Turf)  (3yo+) ,,,,,Warwick Farm (AUS),5.0, Diomed verdict is not currently available for this race ,6,,,,,"top-class 2-4yo sprinter in Aus/UK; good record with 2yos/sprinters/milers, inc. Olympic Glory",,": :1:0:0:1:£0:£1,099: - : - : -",,,2015-04-08 10:02:29.496107,,Gd,3,,26K,,,,,,3/9 (1L Canny De Zero 8-7) 16/1,No Comment,,,,,,": :1:0:0:1:£0:£1,099: - : - : -",,,,,,,,Hkb,,,8-10,2015-04-08,,,,0,1,29,0,Sft,,  TAB Place Multi Handicap  (3yo+ Fillies & Mares) (Turf)  (3yo+) ,0,,,9,,,,,,,7,,,,,Rules Races,,,6.0,REMLAPS JEWEL,,,6,,,,6K,,
No diomed comment available for this horse,,,8:15,,,,,,,,,  TAB Place Multi Handicap  (3yo+ Fillies & Mares) (Turf)  (3yo+) ,,,,,Warwick Farm (AUS),, Diomed verdict is not currently available for this race ,9,Owner: G K Hayes  Mrs J L Hayes(CLOSE),,"(AUS) b. F, 2008 {1-m} DP = 2-1-7-0-0 (10)  DI = 1.86  CD = 0.50",,"top-class 6-10f winner at 2-3, won Eclipse Stakes; progeny progress well; standing in South Africa",,,,,2015-04-08 10:02:29.519350,,,,,26K,,,,,,,,0.50,,,,,,,1.86,,,,,,,,,,2015-04-08,,,,0,,,0,Sft,,  TAB Place Multi Handicap  (3yo+ Fillies & Mares) (Turf)  (3yo+) ,0,,,,,,,,,,8,,,,,,,,6.0,BEST DANCE YET,,,7,,,,,,
No diomed comment available for this horse,,,8:15,,,,,,,,,  TAB Place Multi Handicap  (3yo+ Fillies & Mares) (Turf)  (3yo+) ,,,,,Warwick Farm (AUS),, Diomed verdict is not currently available for this race ,3,(CLOSE),,,,,,,,,2015-04-08 10:02:29.490542,,,,,26K,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-08,,,,0,,,0,Sft,,  TAB Place Multi Handicap  (3yo+ Fillies & Mares) (Turf)  (3yo+) ,0,,,,,,,,,,4,,,,,,,,6.0,SERITZA,,,5,,,,,,
No diomed comment available for this horse,,,8:15,,,,,,,,,  TAB Place Multi Handicap  (3yo+ Fillies & Mares) (Turf)  (3yo+) ,,,,,Warwick Farm (AUS),, Diomed verdict is not currently available for this race ,10,"Owner: Stud Mary Ann C.A. Winnings: - Starts: 17 - - - -, Bs. 381.981Ganador clásico en Argentina, gran corredor en Venezuela de 17 carreras y record horse en 1.400mts. y ganador de 4 en USA... Record horse para 1.400 mts. en 82"" 3/5 el 04-02-1961 en el Hipódromo La Rinconada-Caracas-Venezuela(CLOSE)",,"(ARG) br. H, 1956 {43} DP = 0-2-16-0-2 (20)  DI = 1.00  CD = -0.10 - - Starts, 17 Wins, - Places, - Shows   Bs. 381.981",,"high-class 6f winner at 2-3, best on soft ground, sires plenty of winners, some precocious",,,,,2015-04-08 10:02:29.521068,,,,,26K,,,,,,,,N/A,,,,,,,1.00,,,,,,,,,,2015-04-08,,,,0,,,0,Sft,,  TAB Place Multi Handicap  (3yo+ Fillies & Mares) (Turf)  (3yo+) ,0,,,,,,,,,,6,,,,,,,,6.0,BONETE,,,5,,,,,,
Won for third time this year last week; this a weaker race and of obvious interest,,,3:00,Flat Turf,"held up, not clear run well over 3f out, headway and not much room over 2f out, no extra inside final furlong",¾,10.0,Wol,C5Hc 2K,C6Sl 2K,C5Hc 2K,  Baker Tilly Classified Claiming Stakes  (CLASS 6) (3yo+ 0-70) ,3,C5Hc 2K,C6Sl 1K,St,Lingfield (AW),7.0,"  Harrogate Fair and Jubilee Brig are both capable at this level if on a going day but OCEAN LEGEND looks the safest option. The winner of a better race at Kempton last week, he´s in form, favoured by the weights and has a fair bit going for him. ",6,(CLOSE),2K,,7.0,"mostly influence for speed, good record with 2yos, some precocious, but progeny progress well",3/7 (40.5L Al Muheer 9-3) 7/1,": :78:13:12:12:£35,914:£56,673: 88 : 91 : 70",8.0,"took keen hold, tracked leaders, ridden over 2f out, not quicken well over 1f out, kept on same pace after",2015-04-08 10:02:27.855179,10,St,1,,3K,6.0,": :110:15:19:15:£40,443:£73,224: - : - : -",,5,14,1/9 (10.5L Shingle 9-7) 9/1,"broke well but soon restrained into 4th and took keen hold, pushed along and closed over 1f out, led inside final furlong, kept on well and steadily asserted",,,"chased leaders, driven to lead over 1f out, held on well inside final furlong, driven out",St,1,": :32:2:7:3:£4,528:£16,551: 78 : 89 : 68",1/10 (0.75L Polar Kite 9-7) 16/1,,St,4½,,5.0,6.0,Kem,9-4,10-2,8-12,2015-04-08,,9-5,9-4,70,1½,7,79,Std,5/14 (30.25L City Of Angkor Wat 9-3) 25/1,  Baker Tilly Classified Claiming Stakes  (CLASS 6) (3yo+ 0-70) ,89,7,7,9,St,4.0,,2K,1K,1,4,2K,3¼,,,All-weather,Rules Races,7.0,6.0,OCEAN LEGEND,"chased leader, ridden to lead over 1f out, joined post",Kem,10,8.0,,1/7 ( 0-0) 3/1,2K,Wol,Kem
No diomed comment available for this horse,,,8:15,Flat Turf,,,1.0,,,,3yG3 65K,  TAB Place Multi Handicap  (3yo+ Fillies & Mares) (Turf)  (3yo+) ,,,,,Warwick Farm (AUS),5.0, Diomed verdict is not currently available for this race ,8,"Owner: Finemore Thoroughbreds Syndicate  Planette Thoroughbred Trading Pty Ltd Syndicate  Breeder: R S Finemore, NSW Winnings: 5 Starts: 1 - 2 - 0, A$35,135Thru 06Nov14(CLOSE)",,"(AUS) b. F, 2011 {6-e} DP = 5-3-8-0-0 (16)  DI = 3.00  CD = 0.81 - 5 Starts, 1 Wins, 2 Places, 0 Shows   A$35,135",,"top-class 2yo/miler in Australia, by Danehill, sires his share of 2yo winners",,: :1:0:0:0:£0:£0: - : 45 : -,,,2015-04-08 10:02:29.517529,,Gd,6,,26K,,: :1:0:0:0:£0:£0: - : - : -,,,,16/16 (16L Onemorezeta 8-9) p 40/1,No Comment,0.81,,,,,: :1:0:0:0:£0:£0: - : 45 : -,,3.00,,,,,,Fle,,,8-9,2015-04-08,,,,0,16,153,0,Sft,,  TAB Place Multi Handicap  (3yo+ Fillies & Mares) (Turf)  (3yo+) ,0,,,16,,,,,,,9,,,,,Stakes,Rules Races,,6.0,SNIP SPUR,,,4,,,,65K,,
No diomed comment available for this horse,,,8:15,,,,,,,,,  TAB Place Multi Handicap  (3yo+ Fillies & Mares) (Turf)  (3yo+) ,,,,,Warwick Farm (AUS),, Diomed verdict is not currently available for this race ,4,,,,,"exceptional 6-10f winner in Australia, also brother to 10f Gr1 winner Niello, sire of Denman",,,,,2015-04-08 10:02:29.492095,,,,,26K,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-08,,,,0,,,0,Sft,,  TAB Place Multi Handicap  (3yo+ Fillies & Mares) (Turf)  (3yo+) ,0,,,,,,,,,,10,,,,,,,,6.0,LUCY´S LOOK,,,4,,,,,,
No diomed comment available for this horse,,,8:15,Flat Turf,,,2.0,,,,Hc 6K,  TAB Place Multi Handicap  (3yo+ Fillies & Mares) (Turf)  (3yo+) ,,,,,Warwick Farm (AUS),5.0, Diomed verdict is not currently available for this race ,5,"Breeder: Bruce LunsfordState Bred: KY Winnings: 21 Starts: 4 - 3 - 5, $1,030,330At 3: 1st Illinois Derby (G2); 2nd Belmont Stakes (G1), Travers Stakes (G1); 3rd Meadowlands Cup (G2), Flamingo S.(G3);   At 4: 3rd Jockey Club Gold Cup (G1)  At 5: 2nd Skip Away H.(G3).At stud 2002 at Hill 'n' Dale/Ky; sent to Haras Vacacion, Argentina, in 2005; to Haras Longavi, Chile for 2011.(CLOSE)",,"(USA) dkb/br. H, 1996 {11-g} DP = 5-8-10-0-1 (24)  DI = 3.00  CD = 0.67 - 21 Starts, 4 Wins, 3 Places, 5 Shows   $1,030,330",,"highly talented colt, multiple G1 winner over middle distances; sire of Captain Cat & Pether's Moon",,": :1:1:0:0:£6,414:£6,414: - : - : -",,,2015-04-08 10:02:29.494025,,Gd,1,,26K,,,,,,1/8 (shd Tidal Magic 8-7) 8/5F,No Comment,0.67,,,,,": :1:1:0:0:£6,414:£6,414: - : - : -",,3.00,,,,,,Kmb,,,8-8,2015-04-08,,,,0,,18,0,Sft,,  TAB Place Multi Handicap  (3yo+ Fillies & Mares) (Turf)  (3yo+) ,0,,,8,,,,,,,5,,,,,Rules Races,,,6.0,VISION AND VERSE,,,5,,,,6K,,
